         72940 function calls (71769 primitive calls) in 0.269 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 memory_profiler.py:695(<genexpr>)
        2    0.000    0.000    0.000    0.000 coroutines.py:164(iscoroutinefunction)
        3    0.000    0.000    0.000    0.000 popen_fork.py:46(_send_signal)
        2    0.000    0.000    0.000    0.000 util.py:461(close_fds)
       11    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 pool.py:731(__enter__)
        1    0.000    0.000    0.000    0.000 tempfile.py:782(TemporaryDirectory)
        6    0.000    0.000    0.000    0.000 threading.py:775(_newname)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
       12    0.000    0.000    0.000    0.000 threading.py:1176(daemon)
       24    0.000    0.000    0.000    0.000 threading.py:546(is_set)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       12    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        8    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
        8    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
        4    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        6    0.000    0.000    0.000    0.000 connection.py:365(_close)
       57    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        2    0.000    0.000    0.000    0.000 memory_profiler.py:782(disable_by_count)
        2    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
        2    0.000    0.000    0.000    0.000 inspect.py:308(iscoroutinefunction)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        6    0.000    0.000    0.000    0.000 {built-in method posix.write}
        1    0.000    0.000    0.000    0.000 synchronize.py:360(Barrier)
       19    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        2    0.000    0.000    0.000    0.000 memory_profiler.py:775(enable_by_count)
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        2    0.000    0.000    0.000    0.000 inspect.py:612(unwrap)
      135    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 contextlib.py:279(helper)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      154    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        8    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
       63    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        6    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        8    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        1    0.000    0.000    0.000    0.000 pool.py:742(ApplyResult)
        2    0.000    0.000    0.000    0.000 inspect.py:290(_has_code_flag)
        1    0.000    0.000    0.000    0.000 popen_fork.py:12(Popen)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        4    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 queues.py:338(SimpleQueue)
       51    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        3    0.000    0.000    0.000    0.000 {built-in method posix.kill}
        2    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        8    0.000    0.000    0.000    0.000 process.py:189(name)
        8    0.000    0.000    0.000    0.000 threading.py:276(_acquire_restore)
        4    0.000    0.000    0.000    0.000 memory_profiler.py:689(items)
        6    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
        1    0.000    0.000    0.000    0.000 connection.py:353(Connection)
        2    0.000    0.000    0.000    0.000 memory_profiler.py:842(enable)
        1    0.000    0.000    0.000    0.000 util.py:182(Finalize)
       12    0.000    0.000    0.000    0.000 process.py:37(current_process)
       96    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 pool.py:918(ThreadPool)
        8    0.000    0.000    0.000    0.000 threading.py:273(_release_save)
       12    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7febab628c10}
        6    0.000    0.000    0.000    0.000 synchronize.py:94(__enter__)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
       96    0.000    0.000    0.000    0.000 {built-in method math.floor}
        6    0.000    0.000    0.000    0.000 synchronize.py:97(__exit__)
        4    0.000    0.000    0.000    0.000 process.py:193(name)
        2    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:459(_TemporaryFileWrapper)
        2    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        1    0.000    0.000    0.000    0.000 tokenize.py:321(read_or_stop)
        1    0.000    0.000    0.000    0.000 connection.py:437(Listener)
       14    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:290(update)
       55    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       26    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        2    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       55    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       40    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 synchronize.py:321(Event)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 memory_profiler.py:1215(<genexpr>)
        9    0.000    0.000    0.000    0.000 inspect.py:379(iscode)
        2    0.000    0.000    0.000    0.000 inspect.py:1049(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        1    0.000    0.000    0.000    0.000 tokenize.py:327(find_cookie)
        2    0.000    0.000    0.000    0.000 pool.py:753(ready)
        2    0.000    0.000    0.000    0.000 process.py:234(ident)
        1    0.000    0.000    0.000    0.000 queues.py:295(JoinableQueue)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        2    0.000    0.000    0.000    0.000 pool.py:157(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:416(_TemporaryFileCloser)
        2    0.000    0.000    0.000    0.000 memory_profiler.py:849(disable)
        4    0.000    0.000    0.000    0.000 enum.py:359(__call__)
